repayment_id,loan_id,repayment_amount,loan_repayment_method_id,repayment_collected_date,collector_id,repayment_backdate,repayment_backdated_date,repayment_adjust_remaining_schedule,repayment_adjust_remaining_schedule_pro_rata,repayment_manual_composition,principal_repayment_amount,interest_repayment_amount,fees_repayment_amount,penalty_repayment_amount,loandisk_system_date,repayment_description,dea_cash_bank_account,branch_id,custom_field_23214
79264150,8958570,1000.0,35306,20/08/2025,98635,,,,,,0.0,0.0,1000.0,0.0,20/08/2025 10:50am,,,63796,THK95STMVT - 8958570
79329613,7577957,32600.0,35306,20/08/2025,97256,0.0,,0.0,0.0,0.0,20000.0,9600.0,3000.0,0.0,21/08/2025 4:39am,,0.0,63796,THK98UZKFL
79329627,7577960,3527.0,35306,20/08/2025,97256,0.0,,0.0,0.0,0.0,2856.0,571.0,100.0,0.0,21/08/2025 4:39am,,0.0,63796,THK98UZKFL-1
79329654,7910005,7128.0,35306,20/08/2025,91368,0.0,,0.0,0.0,0.0,5857.0,1171.0,100.0,0.0,21/08/2025 4:42am,,0.0,63796,THK98V1211
79329661,7910007,41223.0,35306,20/08/2025,91368,0.0,,0.0,0.0,0.0,22222.22,16000.0,3000.78,0.0,21/08/2025 4:42am,,0.0,63796,THK98V1211-1
79349269,8467897,0.0,35306,21/08/2025,97255,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22/08/2025 6:36am,,0.0,63796,THL8A2UGQ4 - 8467897
79394274,8705931,20000.0,35306,21/08/2025,98635,,,,,,11868.68,5131.32,3000.0,0.0,21/08/2025 2:46pm,,,63796,THL7BZAYXT - 8705931
79396612,8849145,8132.8,35306,21/08/2025,98635,,,,,,6693.0,1339.0,100.8,0.0,21/08/2025 3:32pm,,,63796,THL0CA1F9S - 8849145
79396613,8849149,10397.2,35306,21/08/2025,98635,,,,,,10397.2,0.0,0.0,0.0,21/08/2025 3:32pm,,,63796,THL0CA1F9S - 8849149
79407777,8849139,10000.0,35306,21/08/2025,98635,,,,,,9884.17,0.0,0.0,115.83,21/08/2025 5:59pm,,,63796,THL9DBLSD3 - 8849139
79422509,8399495,10000.0,35306,21/08/2025,97256,0.0,,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,22/08/2025 4:37am,,0.0,63796,THL1BNHUKP
79422793,8870043,11000.0,35306,20/08/2025,91368,0.0,,0.0,0.0,0.0,7550.0,3450.0,0.0,0.0,22/08/2025 4:36am,,0.0,63796,THK8874JN2
79423217,7216904,14150.0,35306,20/08/2025,97256,0.0,,0.0,0.0,0.0,14150.0,0.0,0.0,0.0,22/08/2025 4:32am,,0.0,63796,THK58HMYJP
79423555,8879979,60500.0,35306,21/08/2025,97256,0.0,,0.0,0.0,0.0,55000.0,5500.0,0.0,0.0,22/08/2025 4:34am,,0.0,63796,THL69CW58A
79423594,7730780,11000.0,35306,21/08/2025,97256,0.0,,0.0,0.0,0.0,11000.0,0.0,0.0,0.0,22/08/2025 4:35am,,0.0,63796,THL59J652T
79424751,8467897,56732.0,35306,21/08/2025,91368,0.0,,0.0,0.0,0.0,43333.33,10400.0,2998.67,0.0,22/08/2025 4:42am,,0.0,63796,THL8A2UGQ4
79428936,8857259,17800.0,35306,21/08/2025,91368,0.0,,0.0,0.0,0.0,10000.0,4800.0,3000.0,0.0,22/08/2025 5:32am,,0.0,63796,THL4DRF5ZO - 8857259
79432390,8276291,4395.0,35306,20/08/2025,97256,0.0,,0.0,0.0,0.0,3579.0,716.0,100.0,0.0,22/08/2025 6:45am,,0.0,63796,THK5727HCF
79436123,8388003,90001.0,35306,22/08/2025,91368,0.0,,0.0,0.0,0.0,66666.67,15334.29,0.0,8000.04,22/08/2025 7:57am,,0.0,63796,THM5EY69ZR
79436805,7399158,19999.0,35306,22/08/2025,91368,0.0,,0.0,0.0,0.0,0.0,17241.07,2007.93,750.0,22/08/2025 7:53am,,0.0,63796,THM5EY69ZR-1
